__RTS_FN_NS_GC_STRING_LEN	native, value = "string_len"	__rtsn_string_len
__RTS_FN_NS_GC_IS_DATE	native, value = "is_date"	__rtsn_is_date
__RTS_FN_NS_GC_IS_REGEX	native, value = "is_regex"	__rtsn_is_regex
__RTS_FN_NS_GC_STRING_EQ	native, value = "string_eq"	__rtsn_string_eq
__RTS_FN_NS_GC_STRING_CMP	native, value = "string_cmp"	__rtsn_string_cmp
__RTS_FN_NS_GC_STRING_CONCAT	native, value = "string_concat"	__rtsn_string_concat
__RTS_FN_NS_GC_PIN_HANDLE	module = "gc", value = "pin_handle"	__rtsm_gc_pin_handle
__RTS_FN_NS_GC_UNPIN_HANDLE	module = "gc", value = "unpin_handle"	__rtsm_gc_unpin_handle
__RTS_FN_RT_THIS_PUSH	native, value = "this_push"	__rtsn_this_push
__RTS_FN_RT_THIS_POP	native, value = "this_pop"	__rtsn_this_pop
__RTS_FN_RT_TRUTHY	native, value = "truthy"	__rtsn_truthy
__RTS_FN_RT_TO_STRING_HANDLE	native, value = "to_string_handle"	__rtsn_to_string_handle
__RTS_FN_RT_INIT	native, value = "rt_init"	__rtsn_rt_init
__RTS_FN_RT_SEED_SHAPES	native, value = "seed_shapes"	__rtsn_seed_shapes
