__RTS_FN_GL_FUNCTION_REIFY	native, value = "function_reify"	__rtsn_function_reify
__RTS_FN_GL_FUNCTION_REIFY_BOUND_TYPED	native, value = "function_reify_bound_typed"	__rtsn_function_reify_bound_typed
__RTS_FN_GL_FUNCTION_NEW	global = "Function", value = "new"	__rtsm_global_Function_new
__RTS_FN_GL_FUNCTION_CALL	global = "Function", value = "call"	__rtsm_global_Function_call
__RTS_FN_GL_FUNCTION_APPLY	global = "Function", value = "apply"	__rtsm_global_Function_apply
__RTS_FN_GL_FUNCTION_APPLY_TYPED	global = "Function", value = "apply", overload = "typed"	__rtsm_global_Function_apply_typed
__RTS_FN_GL_FUNCTION_NAME	global = "Function", value = "name"	__rtsm_global_Function_name
__RTS_FN_GL_FUNCTION_LENGTH	global = "Function", value = "length"	__rtsm_global_Function_length
__RTS_FN_RT_REGISTER_FN_KINDS	native, value = "register_fn_kinds"	__rtsn_register_fn_kinds
__RTS_FN_RT_OBJECT_PROTOTYPE_HANDLE	native, value = "object_prototype_handle"	__rtsn_object_prototype_handle
__RTS_FN_RT_INVOKE_AUTO	native, value = "invoke_auto"	__rtsn_invoke_auto
__RTS_FN_GL_TYPE_ERROR_NEW	global = "TypeError", value = "new"	__rtsm_global_TypeError_new
__RTS_FN_GL_RANGE_ERROR_NEW	global = "RangeError", value = "new"	__rtsm_global_RangeError_new
__RTS_FN_GL_REGEXP_NEW	global = "RegExp", value = "new"	__rtsm_global_RegExp_new
__RTS_FN_GL_REGEXP_NEW_WITH_FLAGS	global = "RegExp", value = "new", overload = "flags"	__rtsm_global_RegExp_new_flags
__RTS_FN_GL_REGEXP_TEST	global = "RegExp", value = "test"	__rtsm_global_RegExp_test
__RTS_FN_GL_REGEXP_EXEC	global = "RegExp", value = "exec"	__rtsm_global_RegExp_exec
__RTS_FN_GL_REGEXP_SOURCE	global = "RegExp", value = "source"	__rtsm_global_RegExp_source
__RTS_FN_GL_REGEXP_FLAGS	global = "RegExp", value = "flags"	__rtsm_global_RegExp_flags
__RTS_FN_GL_REGEXP_GLOBAL	global = "RegExp", value = "global"	__rtsm_global_RegExp_global
__RTS_FN_GL_REGEXP_IGNORE_CASE	global = "RegExp", value = "ignoreCase"	__rtsm_global_RegExp_ignoreCase
__RTS_FN_GL_REGEXP_MULTILINE	global = "RegExp", value = "multiline"	__rtsm_global_RegExp_multiline
__RTS_FN_GL_REGEXP_LAST_INDEX_GET	global = "RegExp", value = "lastIndex"	__rtsm_global_RegExp_lastIndex
__RTS_FN_GL_SYMBOL_ITERATOR	global = "Symbol", value = "iterator"	__rtsm_global_Symbol_iterator
__RTS_FN_GL_SYMBOL_ASYNC_ITERATOR	global = "Symbol", value = "asyncIterator"	__rtsm_global_Symbol_asyncIterator
__RTS_FN_GL_SYMBOL_HAS_INSTANCE	global = "Symbol", value = "hasInstance"	__rtsm_global_Symbol_hasInstance
__RTS_FN_GL_SYMBOL_TO_PRIMITIVE	global = "Symbol", value = "toPrimitive"	__rtsm_global_Symbol_toPrimitive
__RTS_FN_GL_SYMBOL_TO_STRING_TAG	global = "Symbol", value = "toStringTag"	__rtsm_global_Symbol_toStringTag
__RTS_FN_RT_PROXY_DISPATCH_APPLY	native, value = "proxy_dispatch_apply"	__rtsn_proxy_dispatch_apply
__RTS_FN_GL_ARRAY_BUFFER_NEW	global = "ArrayBuffer", value = "new"	__rtsm_global_ArrayBuffer_new
__RTS_FN_GL_ARRAY_BUFFER_SLICE	global = "ArrayBuffer", value = "slice"	__rtsm_global_ArrayBuffer_slice
__RTS_FN_GL_ARRAY_NEW_WITH_LENGTH	global = "Array", value = "new"	__rtsm_global_Array_new
__RTS_FN_GL_ARRAY_FROM_LENGTH	global = "Array", value = "from", overload = "length"	__rtsm_global_Array_from_length
__RTS_FN_GL_NUMBER_TO_STRING_RADIX	global = "Number", value = "toString", overload = "radix"	__rtsm_global_Number_toString_radix
__RTS_FN_GL_FETCH	module = "fetch", value = "fetch"	__rtsm_fetch_fetch
__RTS_FN_NS_FETCH_FETCH_TEXT	module = "fetch", value = "fetchText"	__rtsm_fetch_fetchText
__RTS_FN_NS_FETCH_FETCH_TEXT_ASYNC	module = "fetch", value = "fetchTextAsync"	__rtsm_fetch_fetchTextAsync
__RTS_FN_NS_FETCH_SET_USER_AGENT	module = "fetch", value = "setUserAgent"	__rtsm_fetch_setUserAgent
__RTS_FN_NS_FETCH_SET_HEADER	module = "fetch", value = "setHeader"	__rtsm_fetch_setHeader
__RTS_FN_NS_FETCH_CLEAR_OVERRIDES	module = "fetch", value = "clearOverrides"	__rtsm_fetch_clearOverrides
__RTS_FN_NS_FETCH_FETCH_POLL	module = "fetch", value = "fetchPoll"	__rtsm_fetch_fetchPoll
__RTS_FN_NS_FETCH_FETCH_TAKE	module = "fetch", value = "fetchTake"	__rtsm_fetch_fetchTake
__RTS_FN_NS_FETCH_FETCH_BYTES_ASYNC	module = "fetch", value = "fetchBytesAsync"	__rtsm_fetch_fetchBytesAsync
__RTS_FN_NS_FETCH_FETCH_BYTES_POLL	module = "fetch", value = "fetchBytesPoll"	__rtsm_fetch_fetchBytesPoll
__RTS_FN_NS_FETCH_FETCH_BYTES_TAKE	module = "fetch", value = "fetchBytesTake"	__rtsm_fetch_fetchBytesTake
__RTS_FN_GL_PROMISE_NEW	global = "Promise", value = "new"	__rtsm_global_Promise_new
__RTS_FN_GL_PROMISE_THEN	global = "Promise", value = "then"	__rtsm_global_Promise_then
__RTS_FN_GL_PROMISE_THEN2	global = "Promise", value = "then", overload = "2"	__rtsm_global_Promise_then_2
__RTS_FN_GL_PROMISE_CATCH	global = "Promise", value = "catch"	__rtsm_global_Promise_catch
__RTS_FN_GL_PROMISE_FINALLY	global = "Promise", value = "finally"	__rtsm_global_Promise_finally
__RTS_FN_GL_PROMISE_RESOLVE	global = "Promise", value = "resolve"	__rtsm_global_Promise_resolve
__RTS_FN_GL_PROMISE_RESOLVE_EMPTY	global = "Promise", value = "resolve", overload = "empty"	__rtsm_global_Promise_resolve_empty
__RTS_FN_GL_PROMISE_REJECT	global = "Promise", value = "reject"	__rtsm_global_Promise_reject
__RTS_FN_GL_PROMISE_TRY	global = "Promise", value = "try"	__rtsm_global_Promise_try
__RTS_FN_GL_PROMISE_WITH_RESOLVERS	global = "Promise", value = "withResolvers"	__rtsm_global_Promise_withResolvers
__RTS_FN_NS_IMGDEC_DECODE	module = "imgdec", value = "decode"	__rtsm_imgdec_decode
__RTS_FN_NS_IMGDEC_WIDTH	module = "imgdec", value = "width"	__rtsm_imgdec_width
__RTS_FN_NS_IMGDEC_HEIGHT	module = "imgdec", value = "height"	__rtsm_imgdec_height
__RTS_FN_NS_IMGDEC_PIXELS_PTR	module = "imgdec", value = "pixelsPtr"	__rtsm_imgdec_pixelsPtr
__RTS_FN_NS_IMGDEC_DECODE_GIF	module = "imgdec", value = "decodeGif"	__rtsm_imgdec_decodeGif
__RTS_FN_NS_IMGDEC_GIF_COUNT	module = "imgdec", value = "gifCount"	__rtsm_imgdec_gifCount
__RTS_FN_NS_IMGDEC_GIF_WIDTH	module = "imgdec", value = "gifWidth"	__rtsm_imgdec_gifWidth
__RTS_FN_NS_IMGDEC_GIF_HEIGHT	module = "imgdec", value = "gifHeight"	__rtsm_imgdec_gifHeight
__RTS_FN_NS_IMGDEC_GIF_DELAY	module = "imgdec", value = "gifDelayMs"	__rtsm_imgdec_gifDelayMs
__RTS_FN_NS_IMGDEC_GIF_PIXELS_PTR	module = "imgdec", value = "gifPixelsPtr"	__rtsm_imgdec_gifPixelsPtr
__RTS_FN_NS_CRYPTO_RANDOM_BUFFER	module = "crypto", value = "random_buffer"	__rtsm_crypto_random_buffer
__RTS_FN_NS_CRYPTO_RANDOM_UUID	module = "crypto", value = "random_uuid"	__rtsm_crypto_random_uuid
__RTS_FN_NS_CRYPTO_HASH_NEW	module = "crypto", value = "hash_new"	__rtsm_crypto_hash_new
__RTS_FN_NS_CRYPTO_HASH_UPDATE_STR	module = "crypto", value = "hash_update_str"	__rtsm_crypto_hash_update_str
__RTS_FN_NS_CRYPTO_HASH_DIGEST_HEX	module = "crypto", value = "hash_digest_hex"	__rtsm_crypto_hash_digest_hex
__RTS_FN_NS_CRYPTO_HASH_DIGEST_BASE64	module = "crypto", value = "hash_digest_base64"	__rtsm_crypto_hash_digest_base64
__RTS_FN_NS_CRYPTO_SHA256_STR	module = "crypto", value = "sha256_str"	__rtsm_crypto_sha256_str
